1,Basketball Men's Basketball,Basketball
2,Judo Men's Extra-Lightweight,Judo
3,Football Men's Football,Football
4,Tug-Of-War Men's Tug-Of-War,Tug-Of-War
5,Speed Skating Women's 500 metres,Speed Skating
6,"Speed Skating Women's 1,000 metres",Speed Skating
7,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
8,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
9,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
10,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
11,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
12,Athletics Women's 100 metres,Athletics
13,Athletics Women's 4 x 100 metres Relay,Athletics
14,Ice Hockey Men's Ice Hockey,Ice Hockey
15,Swimming Men's 400 metres Freestyle,Swimming
16,Badminton Men's Singles,Badminton
17,Sailing Women's Windsurfer,Sailing
18,Biathlon Women's 7.5 kilometres Sprint,Biathlon
19,Swimming Men's 200 metres Breaststroke,Swimming
20,Swimming Men's 400 metres Breaststroke,Swimming
21,Gymnastics Men's Individual All-Around,Gymnastics
22,Gymnastics Men's Team All-Around,Gymnastics
23,Gymnastics Men's Floor Exercise,Gymnastics
24,Gymnastics Men's Horse Vault,Gymnastics
25,Gymnastics Men's Parallel Bars,Gymnastics
26,Gymnastics Men's Horizontal Bar,Gymnastics
27,Gymnastics Men's Rings,Gymnastics
28,Gymnastics Men's Pommelled Horse,Gymnastics
29,Athletics Men's Shot Put,Athletics
30,"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions
31,Alpine Skiing Men's Downhill,Alpine Skiing
32,Alpine Skiing Men's Super G,Alpine Skiing
33,Alpine Skiing Men's Giant Slalom,Alpine Skiing
34,Alpine Skiing Men's Slalom,Alpine Skiing
35,Alpine Skiing Men's Combined,Alpine Skiing
36,Handball Women's Handball,Handball
37,Weightlifting Women's Super-Heavyweight,Weightlifting
38,"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling
39,Speed Skating Men's 500 metres,Speed Skating
40,"Speed Skating Men's 1,500 metres",Speed Skating
41,"Gymnastics Men's Team All-Around, Free System",Gymnastics
42,Luge Women's Singles,Luge
43,Water Polo Men's Water Polo,Water Polo
44,Sailing Mixed Three Person Keelboat,Sailing
45,Hockey Women's Hockey,Hockey
46,Rowing Men's Lightweight Double Sculls,Rowing
47,Athletics Men's Pole Vault,Athletics
48,Athletics Men's High Jump,Athletics
49,Sailing Men's Two Person Dinghy,Sailing
50,"Athletics Men's 1,500 metres",Athletics
51,Bobsleigh Men's Four,Bobsleigh
52,Swimming Men's 100 metres Butterfly,Swimming
53,Swimming Men's 200 metres Butterfly,Swimming
54,Swimming Men's 4 x 100 metres Medley Relay,Swimming
55,Football Women's Football,Football
56,"Fencing Men's Foil, Individual",Fencing
57,"Fencing Men's epee, Individual",Fencing
58,"Fencing Men's epee, Team",Fencing
59,"Speed Skating Men's 5,000 metres",Speed Skating
60,"Speed Skating Men's 10,000 metres",Speed Skating
61,Sailing Mixed 8 metres,Sailing
62,"Equestrianism Mixed Jumping, Individual",Equestrianism
63,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
64,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Shooting
65,"Shooting Men's Rapid-Fire Pistol, 25 metres",Shooting
66,Shooting Men's Trap,Shooting
67,Athletics Men's 4 x 100 metres Relay,Athletics
68,Athletics Men's Long Jump,Athletics
