Abacus, 2 'gp',2.0,,
Acid (vial), 25 'gp',1.0,"'As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon.', 'On a hit, the target takes 2d6 acid damage.'",
Alchemist's fire (flask), 50 'gp',1.0,"'This sticky, adhesive fluid ignites when exposed to air.', ""As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon."", 'On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.'",
Amulet, 5 'gp',1.0,"'A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic.', 'Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.'",
Antitoxin (vial), 50 'gp',0.0,'A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.',
Arrow, 1 'gp',1.0,,20.0
Backpack, 2 'gp',5.0,,
"Ball bearings (bag of 1,000)", 1 'gp',2.0,"'As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side.', 'A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone.', ""A creature moving through the area at half speed doesn't need to make the save.""",
Barrel, 2 'gp',70.0,,
Basket, 4 'sp',2.0,,
Bedroll, 1 'gp',7.0,,
Bell, 1 'gp',0.0,,
Blanket, 5 'sp',3.0,,
Block and tackle, 1 'gp',5.0,"'A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.'",
Blowgun needle, 1 'gp',1.0,,50.0
Book, 25 'gp',5.0,"'A book might contain poetry, historical accounts, information pertaining to a particular field of lore, diagrams and notes on gnomish contraptions, or just about anything else that can be represented using text or pictures. A book of spells is a spellbook (described later in this section).'",
"Bottle, glass", 2 'gp',2.0,,
Bucket, 5 'cp',2.0,,
Burglar's Pack, 16 'gp',,,
Caltrops, 5 'cp',2.0,"'As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side.', 'Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage.', ""Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point."", ""A creature moving through the area at half speed doesn't need to make the save.""",
